                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94819,                 1.7359,                 1.2767,                0.71107,                0.67772,                0.74594,                0.44523,                 1.3355,                 2.3825,                 2.0237,                0.00064,                0.00064,                0.00064
                      2,                0.99713,                 1.3169,                 1.2792,                0.57958,                0.45958,                0.51269,                0.17482,                  1.777,                 4.0678,                 2.5269,              0.0012357,              0.0012357,              0.0012357
                      3,                 1.0429,                 1.2979,                 1.2915,                0.53296,                0.66156,                0.60326,                0.28545,                 1.6538,                 2.8134,                 2.4353,               0.001766,               0.001766,               0.001766
                      4,                 1.0829,                 1.3098,                 1.3368,                0.56662,                0.47826,                 0.4889,                0.23957,                  1.905,                 2.5181,                   2.42,               0.001703,               0.001703,               0.001703
                      5,                 1.0797,                 1.2678,                 1.3265,                0.30411,                0.43478,                0.31419,                0.18144,                 1.7247,                  2.373,                 2.5878,               0.001703,               0.001703,               0.001703
                      6,                 1.0207,                 1.1913,                 1.2936,                0.48553,                0.49239,                 0.4034,                0.24257,                 1.4477,                 2.0263,                 2.0072,               0.001604,               0.001604,               0.001604
                      7,                0.99338,                 1.1741,                  1.278,                0.59716,                 0.5942,                0.60421,                0.33982,                 1.5671,                 2.0577,                  2.039,               0.001505,               0.001505,               0.001505
                      8,                0.95116,                 1.0599,                 1.2571,                0.61686,                0.60671,                0.63124,                0.34937,                 1.2783,                 1.9362,                 1.8019,               0.001406,               0.001406,               0.001406
                      9,                0.93017,                 1.0473,                  1.248,                 0.7832,                0.83772,                  0.833,                0.58216,                0.97068,                 1.2537,                 1.6767,               0.001307,               0.001307,               0.001307
                     10,                0.88455,                 1.0389,                 1.2235,                0.84254,                 0.6087,                0.76192,                0.50324,                 1.0901,                  1.281,                 1.6605,               0.001208,               0.001208,               0.001208
                     11,                 0.8172,                0.96851,                 1.1959,                 0.9149,                0.77914,                0.88267,                0.63249,                 1.0116,                 1.1315,                 1.5162,               0.001109,               0.001109,               0.001109
                     12,                0.78333,                0.87246,                  1.182,                0.84949,                0.81803,                0.87601,                0.65983,                0.89922,                 1.0881,                 1.4755,                0.00101,                0.00101,                0.00101
                     13,                0.74994,                0.82365,                 1.1555,                0.82263,                0.86957,                 0.8516,                0.65795,                0.76164,                 1.0771,                  1.306,               0.000911,               0.000911,               0.000911
                     14,                 0.7113,                0.75981,                 1.1331,                 0.8969,                0.88254,                0.91754,                 0.7348,                0.73253,                0.79577,                 1.2853,               0.000812,               0.000812,               0.000812
                     15,                0.68578,                0.75119,                 1.0957,                0.79021,                0.92803,                0.93028,                0.70571,                0.83004,                0.79232,                 1.3782,               0.000713,               0.000713,               0.000713
                     16,                0.66879,                0.71648,                  1.098,                0.79048,                0.92955,                0.93306,                0.70594,                0.75666,                 0.8295,                 1.2383,               0.000614,               0.000614,               0.000614
                     17,                0.65034,                0.66366,                 1.0886,                0.91352,                0.91864,                 0.9664,                0.79897,                0.63339,                0.66792,                  1.176,               0.000515,               0.000515,               0.000515
                     18,                0.59499,                0.63235,                 1.0535,                0.89024,                0.92754,                0.95699,                0.77572,                0.67772,                0.66597,                   1.22,               0.000416,               0.000416,               0.000416
                     19,                0.58886,                 0.6029,                 1.0352,                0.92751,                0.92718,                0.95716,                0.80722,                0.61737,                0.58997,                 1.1478,               0.000317,               0.000317,               0.000317
                     20,                0.57837,                0.58663,                 1.0383,                0.95769,                0.91304,                0.97303,                0.83881,                0.55932,                0.52864,                 1.1138,               0.000218,               0.000218,               0.000218
