                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7591,                 1.8117,                 1.4747,                0.52725,                0.33752,                0.30759,                 0.1442,                  1.862,                 2.8453,                 1.6783,             0.00054805,             0.00054805,             0.00054805
                      2,                 1.5762,                 1.0709,                 1.3281,                 0.7809,                0.60591,                0.65355,                0.32983,                 1.6188,                 1.6107,                 1.5841,              0.0010819,              0.0010819,              0.0010819
                      3,                 1.5515,                 1.0539,                 1.3256,                0.66354,                0.62426,                0.63912,                0.33315,                 1.5675,                 1.6808,                 1.5577,              0.0015937,              0.0015937,              0.0015937
                      4,                 1.5125,                0.98703,                  1.302,                0.79974,                 0.6581,                0.74143,                0.39464,                 1.6407,                 1.0628,                 1.5051,               0.001568,               0.001568,               0.001568
                      5,                 1.5269,                0.97844,                 1.2917,                 0.8592,                0.70314,                0.78384,                0.41013,                 1.5889,                0.97568,                  1.472,               0.001568,               0.001568,               0.001568
                      6,                 1.5013,                 0.9061,                 1.2906,                0.86114,                0.76246,                0.84662,                0.45682,                 1.4576,                0.85735,                 1.3846,               0.001535,               0.001535,               0.001535
                      7,                 1.4747,                0.89161,                 1.2659,                0.82693,                0.71881,                0.78994,                0.43571,                  1.519,                 1.0754,                 1.4279,               0.001502,               0.001502,               0.001502
                      8,                 1.4385,                0.83966,                  1.244,                0.84275,                0.75642,                0.82549,                0.46942,                 1.4591,                0.82045,                 1.3854,               0.001469,               0.001469,               0.001469
                      9,                 1.4242,                0.84934,                 1.2556,                 0.8475,                 0.7468,                0.82266,                0.44996,                  1.528,                0.90644,                 1.4225,               0.001436,               0.001436,               0.001436
                     10,                 1.4266,                0.83038,                 1.2525,                0.86954,                0.75969,                0.82761,                0.45037,                 1.5292,                0.82997,                 1.4445,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.4464,                0.81014,                 1.2626,                0.86586,                0.78134,                0.84617,                0.47744,                 1.4586,                0.79036,                 1.3877,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.3876,                0.77474,                 1.2243,                0.83959,                0.77393,                0.83477,                0.45774,                 1.4622,                0.77456,                 1.4065,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.3823,                0.76544,                 1.2206,                0.84641,                0.77211,                0.82981,                0.48978,                 1.4105,                0.72613,                  1.376,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.3743,                 0.7585,                 1.2053,                0.87777,                  0.744,                0.83956,                0.47865,                 1.5075,                0.77145,                 1.4076,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.3963,                0.75854,                 1.2121,                0.84095,                0.80914,                0.84695,                0.47901,                 1.4583,                0.75952,                 1.3685,              0.0012379,              0.0012379,              0.0012379
