                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0876,                    0.4,                      1,                 1.1143,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                0.96139,                0.46667,                      1,                 1.0684,             0.00011898,             0.00011898,             0.00011898
                      3,                0.80074,                    0.6,                      1,                 1.0312,             0.00017829,             0.00017829,             0.00017829
                      4,                0.59293,                    0.8,                      1,                 0.9292,             0.00023506,             0.00023506,             0.00023506
                      5,                0.49627,                0.73333,                      1,                0.83789,             0.00028928,             0.00028928,             0.00028928
                      6,                0.35274,                0.73333,                      1,                0.80664,             0.00034096,             0.00034096,             0.00034096
                      7,                0.26558,                    0.8,                      1,                0.77246,             0.00039009,             0.00039009,             0.00039009
                      8,                0.22664,                0.73333,                      1,                0.79736,             0.00043668,             0.00043668,             0.00043668
                      9,                0.17583,                0.73333,                      1,                0.79053,             0.00048072,             0.00048072,             0.00048072
                     10,                0.13607,                0.73333,                      1,                0.80664,             0.00052222,             0.00052222,             0.00052222
                     11,                0.15732,                    0.8,                      1,                0.81592,             0.00056118,             0.00056118,             0.00056118
                     12,                0.25468,                    0.8,                      1,                0.78467,             0.00055849,             0.00055849,             0.00055849
                     13,                0.16696,                0.73333,                      1,                 0.8042,             0.00055849,             0.00055849,             0.00055849
                     14,                 0.1219,                0.73333,                      1,                0.82324,             0.00054435,             0.00054435,             0.00054435
                     15,                0.14752,                0.66667,                      1,                0.82861,             0.00053022,             0.00053022,             0.00053022
                     16,                0.31892,                0.66667,                      1,                0.85596,             0.00051608,             0.00051608,             0.00051608
                     17,                0.12497,                0.73333,                      1,                0.86523,             0.00050194,             0.00050194,             0.00050194
                     18,                0.23948,                    0.6,                      1,                0.87158,              0.0004878,              0.0004878,              0.0004878
                     19,                0.10957,                0.66667,                      1,                0.87549,             0.00047367,             0.00047367,             0.00047367
                     20,                0.16928,                0.66667,                      1,                0.84961,             0.00045953,             0.00045953,             0.00045953
                     21,                0.15557,                0.66667,                      1,                0.83154,             0.00044539,             0.00044539,             0.00044539
                     22,                0.10582,                0.66667,                      1,                0.82666,             0.00043126,             0.00043126,             0.00043126
                     23,                0.11842,                0.66667,                      1,                0.83252,             0.00041712,             0.00041712,             0.00041712
                     24,                0.10838,                0.73333,                      1,                0.80225,             0.00040298,             0.00040298,             0.00040298
                     25,                0.13294,                0.73333,                      1,                0.77881,             0.00038884,             0.00038884,             0.00038884
                     26,                0.09473,                    0.8,                      1,                0.75732,             0.00037471,             0.00037471,             0.00037471
                     27,                0.06475,                0.73333,                      1,                0.75244,             0.00036057,             0.00036057,             0.00036057
                     28,                0.10587,                0.73333,                      1,                0.75244,             0.00034643,             0.00034643,             0.00034643
                     29,                0.20571,                0.66667,                      1,                0.76221,              0.0003323,              0.0003323,              0.0003323
                     30,                0.10988,                0.86667,                      1,                0.73926,             0.00031816,             0.00031816,             0.00031816
                     31,                0.12521,                    0.8,                      1,                 0.7583,             0.00030402,             0.00030402,             0.00030402
                     32,                0.12788,                0.73333,                      1,                0.77295,             0.00028988,             0.00028988,             0.00028988
                     33,                0.12309,                0.66667,                      1,                0.77783,             0.00027575,             0.00027575,             0.00027575
                     34,                0.10907,                0.66667,                      1,                0.81592,             0.00026161,             0.00026161,             0.00026161
                     35,                 0.0965,                0.66667,                      1,                0.82764,             0.00024747,             0.00024747,             0.00024747
                     36,                0.09667,                0.66667,                      1,                0.81299,             0.00023334,             0.00023334,             0.00023334
                     37,                0.07548,                0.73333,                      1,                0.78711,              0.0002192,              0.0002192,              0.0002192
                     38,                0.08471,                0.73333,                      1,                 0.7832,             0.00020506,             0.00020506,             0.00020506
                     39,                0.08125,                0.73333,                      1,                 0.7832,             0.00019092,             0.00019092,             0.00019092
                     40,                0.07839,                0.73333,                      1,                0.77393,             0.00017679,             0.00017679,             0.00017679
                     41,                0.07736,                0.73333,                      1,                0.77344,             0.00016265,             0.00016265,             0.00016265
                     42,                0.07216,                0.73333,                      1,                0.77246,             0.00014851,             0.00014851,             0.00014851
                     43,                0.08141,                0.73333,                      1,                 0.7793,             0.00013437,             0.00013437,             0.00013437
                     44,                0.05355,                    0.8,                      1,                0.76318,             0.00012024,             0.00012024,             0.00012024
                     45,                 0.0827,                    0.8,                      1,                0.75977,              0.0001061,              0.0001061,              0.0001061
                     46,                0.06146,                    0.8,                      1,                0.76611,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.06172,                    0.8,                      1,                0.75879,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.06192,                    0.8,                      1,                0.76172,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                 0.0812,                    0.8,                      1,                0.75781,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.06244,                    0.8,                      1,                0.75586,             3.5414e-05,             3.5414e-05,             3.5414e-05
